n_points,n_trucks,diff_mode,distance,Time,demand_0,demand_1,demand_2,demand_3,demand_4,demand_5,demand_6,demand_7,demand_8,demand_9,solution_0_0_1,solution_0_0_2,solution_0_0_3,solution_0_0_4,solution_0_0_5,solution_0_0_6,solution_0_0_7,solution_0_0_8,solution_0_0_9,solution_0_1_0,solution_0_1_2,solution_0_1_3,solution_0_1_4,solution_0_1_5,solution_0_1_6,solution_0_1_7,solution_0_1_8,solution_0_1_9,solution_0_2_0,solution_0_2_1,solution_0_2_3,solution_0_2_4,solution_0_2_5,solution_0_2_6,solution_0_2_7,solution_0_2_8,solution_0_2_9,solution_0_3_0,solution_0_3_1,solution_0_3_2,solution_0_3_4,solution_0_3_5,solution_0_3_6,solution_0_3_7,solution_0_3_8,solution_0_3_9,solution_0_4_0,solution_0_4_1,solution_0_4_2,solution_0_4_3,solution_0_4_5,solution_0_4_6,solution_0_4_7,solution_0_4_8,solution_0_4_9,solution_0_5_0,solution_0_5_1,solution_0_5_2,solution_0_5_3,solution_0_5_4,solution_0_5_6,solution_0_5_7,solution_0_5_8,solution_0_5_9,solution_0_6_0,solution_0_6_1,solution_0_6_2,solution_0_6_3,solution_0_6_4,solution_0_6_5,solution_0_6_7,solution_0_6_8,solution_0_6_9,solution_0_7_0,solution_0_7_1,solution_0_7_2,solution_0_7_3,solution_0_7_4,solution_0_7_5,solution_0_7_6,solution_0_7_8,solution_0_7_9,solution_0_8_0,solution_0_8_1,solution_0_8_2,solution_0_8_3,solution_0_8_4,solution_0_8_5,solution_0_8_6,solution_0_8_7,solution_0_8_9,solution_0_9_0,solution_0_9_1,solution_0_9_2,solution_0_9_3,solution_0_9_4,solution_0_9_5,solution_0_9_6,solution_0_9_7,solution_0_9_8,solution_1_0_1,solution_1_0_2,solution_1_0_3,solution_1_0_4,solution_1_0_5,solution_1_0_6,solution_1_0_7,solution_1_0_8,solution_1_0_9,solution_1_1_0,solution_1_1_2,solution_1_1_3,solution_1_1_4,solution_1_1_5,solution_1_1_6,solution_1_1_7,solution_1_1_8,solution_1_1_9,solution_1_2_0,solution_1_2_1,solution_1_2_3,solution_1_2_4,solution_1_2_5,solution_1_2_6,solution_1_2_7,solution_1_2_8,solution_1_2_9,solution_1_3_0,solution_1_3_1,solution_1_3_2,solution_1_3_4,solution_1_3_5,solution_1_3_6,solution_1_3_7,solution_1_3_8,solution_1_3_9,solution_1_4_0,solution_1_4_1,solution_1_4_2,solution_1_4_3,solution_1_4_5,solution_1_4_6,solution_1_4_7,solution_1_4_8,solution_1_4_9,solution_1_5_0,solution_1_5_1,solution_1_5_2,solution_1_5_3,solution_1_5_4,solution_1_5_6,solution_1_5_7,solution_1_5_8,solution_1_5_9,solution_1_6_0,solution_1_6_1,solution_1_6_2,solution_1_6_3,solution_1_6_4,solution_1_6_5,solution_1_6_7,solution_1_6_8,solution_1_6_9,solution_1_7_0,solution_1_7_1,solution_1_7_2,solution_1_7_3,solution_1_7_4,solution_1_7_5,solution_1_7_6,solution_1_7_8,solution_1_7_9,solution_1_8_0,solution_1_8_1,solution_1_8_2,solution_1_8_3,solution_1_8_4,solution_1_8_5,solution_1_8_6,solution_1_8_7,solution_1_8_9,solution_1_9_0,solution_1_9_1,solution_1_9_2,solution_1_9_3,solution_1_9_4,solution_1_9_5,solution_1_9_6,solution_1_9_7,solution_1_9_8,solution_2_0_1,solution_2_0_2,solution_2_0_3,solution_2_0_4,solution_2_0_5,solution_2_0_6,solution_2_0_7,solution_2_0_8,solution_2_0_9,solution_2_1_0,solution_2_1_2,solution_2_1_3,solution_2_1_4,solution_2_1_5,solution_2_1_6,solution_2_1_7,solution_2_1_8,solution_2_1_9,solution_2_2_0,solution_2_2_1,solution_2_2_3,solution_2_2_4,solution_2_2_5,solution_2_2_6,solution_2_2_7,solution_2_2_8,solution_2_2_9,solution_2_3_0,solution_2_3_1,solution_2_3_2,solution_2_3_4,solution_2_3_5,solution_2_3_6,solution_2_3_7,solution_2_3_8,solution_2_3_9,solution_2_4_0,solution_2_4_1,solution_2_4_2,solution_2_4_3,solution_2_4_5,solution_2_4_6,solution_2_4_7,solution_2_4_8,solution_2_4_9,solution_2_5_0,solution_2_5_1,solution_2_5_2,solution_2_5_3,solution_2_5_4,solution_2_5_6,solution_2_5_7,solution_2_5_8,solution_2_5_9,solution_2_6_0,solution_2_6_1,solution_2_6_2,solution_2_6_3,solution_2_6_4,solution_2_6_5,solution_2_6_7,solution_2_6_8,solution_2_6_9,solution_2_7_0,solution_2_7_1,solution_2_7_2,solution_2_7_3,solution_2_7_4,solution_2_7_5,solution_2_7_6,solution_2_7_8,solution_2_7_9,solution_2_8_0,solution_2_8_1,solution_2_8_2,solution_2_8_3,solution_2_8_4,solution_2_8_5,solution_2_8_6,solution_2_8_7,solution_2_8_9,solution_2_9_0,solution_2_9_1,solution_2_9_2,solution_2_9_3,solution_2_9_4,solution_2_9_5,solution_2_9_6,solution_2_9_7,solution_2_9_8,solution_3_0_1,solution_3_0_2,solution_3_0_3,solution_3_0_4,solution_3_0_5,solution_3_0_6,solution_3_0_7,solution_3_0_8,solution_3_0_9,solution_3_1_0,solution_3_1_2,solution_3_1_3,solution_3_1_4,solution_3_1_5,solution_3_1_6,solution_3_1_7,solution_3_1_8,solution_3_1_9,solution_3_2_0,solution_3_2_1,solution_3_2_3,solution_3_2_4,solution_3_2_5,solution_3_2_6,solution_3_2_7,solution_3_2_8,solution_3_2_9,solution_3_3_0,solution_3_3_1,solution_3_3_2,solution_3_3_4,solution_3_3_5,solution_3_3_6,solution_3_3_7,solution_3_3_8,solution_3_3_9,solution_3_4_0,solution_3_4_1,solution_3_4_2,solution_3_4_3,solution_3_4_5,solution_3_4_6,solution_3_4_7,solution_3_4_8,solution_3_4_9,solution_3_5_0,solution_3_5_1,solution_3_5_2,solution_3_5_3,solution_3_5_4,solution_3_5_6,solution_3_5_7,solution_3_5_8,solution_3_5_9,solution_3_6_0,solution_3_6_1,solution_3_6_2,solution_3_6_3,solution_3_6_4,solution_3_6_5,solution_3_6_7,solution_3_6_8,solution_3_6_9,solution_3_7_0,solution_3_7_1,solution_3_7_2,solution_3_7_3,solution_3_7_4,solution_3_7_5,solution_3_7_6,solution_3_7_8,solution_3_7_9,solution_3_8_0,solution_3_8_1,solution_3_8_2,solution_3_8_3,solution_3_8_4,solution_3_8_5,solution_3_8_6,solution_3_8_7,solution_3_8_9,solution_3_9_0,solution_3_9_1,solution_3_9_2,solution_3_9_3,solution_3_9_4,solution_3_9_5,solution_3_9_6,solution_3_9_7,solution_3_9_8,solution_4_0_1,solution_4_0_2,solution_4_0_3,solution_4_0_4,solution_4_0_5,solution_4_0_6,solution_4_0_7,solution_4_0_8,solution_4_0_9,solution_4_1_0,solution_4_1_2,solution_4_1_3,solution_4_1_4,solution_4_1_5,solution_4_1_6,solution_4_1_7,solution_4_1_8,solution_4_1_9,solution_4_2_0,solution_4_2_1,solution_4_2_3,solution_4_2_4,solution_4_2_5,solution_4_2_6,solution_4_2_7,solution_4_2_8,solution_4_2_9,solution_4_3_0,solution_4_3_1,solution_4_3_2,solution_4_3_4,solution_4_3_5,solution_4_3_6,solution_4_3_7,solution_4_3_8,solution_4_3_9,solution_4_4_0,solution_4_4_1,solution_4_4_2,solution_4_4_3,solution_4_4_5,solution_4_4_6,solution_4_4_7,solution_4_4_8,solution_4_4_9,solution_4_5_0,solution_4_5_1,solution_4_5_2,solution_4_5_3,solution_4_5_4,solution_4_5_6,solution_4_5_7,solution_4_5_8,solution_4_5_9,solution_4_6_0,solution_4_6_1,solution_4_6_2,solution_4_6_3,solution_4_6_4,solution_4_6_5,solution_4_6_7,solution_4_6_8,solution_4_6_9,solution_4_7_0,solution_4_7_1,solution_4_7_2,solution_4_7_3,solution_4_7_4,solution_4_7_5,solution_4_7_6,solution_4_7_8,solution_4_7_9,solution_4_8_0,solution_4_8_1,solution_4_8_2,solution_4_8_3,solution_4_8_4,solution_4_8_5,solution_4_8_6,solution_4_8_7,solution_4_8_9,solution_4_9_0,solution_4_9_1,solution_4_9_2,solution_4_9_3,solution_4_9_4,solution_4_9_5,solution_4_9_6,solution_4_9_7,solution_4_9_8
10,5,low,259.1827367481588,0.815666675567627,0,40,40,48,47,46,47,47,47,41,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
10,5,low,259.1827367481588,0.4873158931732178,0,44,50,44,40,49,43,43,41,44,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
10,5,low,259.1827367481588,0.5455329418182373,0,45,44,49,42,47,43,48,43,49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,5,low,259.1827367481588,0.6169717311859131,0,43,40,43,48,49,48,49,45,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
10,5,low,259.1827367481588,0.5113589763641357,0,44,46,42,50,48,41,42,50,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,5,low,259.1827367481588,0.4957394599914551,0,46,45,50,45,50,49,49,41,43,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,5,low,259.1827367481588,0.5343823432922363,0,46,40,48,42,49,40,50,49,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,5,low,259.1827367481588,0.44504547119140625,0,40,41,41,47,44,45,46,43,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
10,5,low,259.1827367481588,0.35060763359069824,0,41,41,45,40,45,44,42,48,41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,5,low,259.1827367481588,0.4612905979156494,0,50,43,40,48,44,46,45,50,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
